Instance,BKS,Rochat and Taillard,Toth and Vigo, Reimann,Tarantilis,AGES VRP best
C1,524.61,524.61,524.61,524.61,524.61,524.
C2,835.26,835.26,838.60,840.61,835.26,835.26
C3,826.14,826.14,828.56,828.21,826.14,826.14
C4,1028.42,1028.42,1033.21,1037.57,1028.42,1028.42
C5,1291.29,1291.45,1318.25,1306.91,1311.48,1291.29
C6,555.43,555.43,555.43,553.43,555.43,555.43
C7,909.68,909.68,920.72,917.50,909.68,909.68
C8,865.94,865.94,869.48,865.94,865.94,865.94
C9,1162.55,1162.55,1173.12,1173.94,1162.55,1162.55
C10,1395.85,1395.85,1435.74,1415.53,1407.21,1401.12
C11,1042.11,1042.11,1042.87,1043.46,1042.11,1042.11
C12,819.56,819.56,819.56,819.56,819.56,819.56
C13,1541.14,1541.14,1545.51,1546.84,1544.01,1541.14
C14,866.37,866.37,866.37,866.37,866.37,866.37