Instance,BKS,Rochat and Taillard,Tarantilis,Prins,Mester and Bräysy,Pisinger and Röpke,EAX-Ma-best,EAX-MA-avg
C1,524.61,524.61,524.61,524.61,524.61,524.61,524.61,524.61
C2,835.26,835.26,835.26,835.26,835.26,835.26,835.26,835.61
C3,826.14,826.14,826.14,826.14,826.14,826.14,826.14,826.14
C4,1028.42,1028.42,1028.42,1031.63,1028.42,1029.56,1028.42,1028.42
C5,1291.29,1291.45,1311.48,1300.23,1291.29,1297.12,1291.45,1291.84
C6,555.43,555.43,555.43,555.43,555.43,555.43,555.43,555.43
C7,909.68,909.68,909.68,912.30,909.68,909.68,909.68,910.41
C8,865.94,865.94,865.94,865.94,865.94,865.94,865.94,865.94
C9,1162.55,1162.55,1162.55,1164.25,1162.55,1163.68,1162.55,1162.56
C10,1395.85,1395.85,1407.21,1420.11,1401.12,1405.88,1395.85,1398.30
C11,1042.11,1042.11,1042.11,1042.11,1042.11,1042.12,1042.11,1042.11
C12,819.56,819.56,819.56,819.56,819.56,819.56,819.56,819.56
C13,1541.14,1541.14,1544.01,1542.97,1541.14,1542.86,1541.14,1542.99
C14,866.37,866.37,866.37,866.37,866.37,866.37,866.37,866.37