Instance,BKS,Reimann et all.,Tarantilis,Prins,Mester and Bräysy,Pisinger and Röpke,EAX-Ma-best,EAX-MA-avg
G1,5627.54,5644.02,5676.97,5648.04,5627.54,5650.91,5626.81,5632.05
G2,8447.92,8449.12,8459.91,8459.73,8447.92,8469.32,8431.66,8440.25
G3,11036.22,11036.22,11036.22,11036.22,11036.22,11047.01,11036.22,11036.22
G4,13624.52,13699.11,13637.53,13728.80,13624.52,13635.31,13592.88,13618.55
G5,6460.98,6460.98,6460.98,6460.98,6460.98,6466.68,6460.98,6460.98
G6,8412.88,8412.90,8414.28,8412.90,8412.88,8416.13,8404.26,8413.41
G7,10181.75,10195.59,10216.50,10267.50,10195.56,10181.75,10156.58,10186.93
G8,11663.55,11828.78,11936.16,11865.40,11663.55,11713.62,11691.06,11691.54
G9,583.39,586.87,585.43,596.89,583.39,585.14,580.42,581.46
G10,741.56,750.77,746.56,751.41,741.56,748.89,738.49,739.56
G11,918.45,927.27,923.17,939.74,918.45,922.70,914.72,916.27
G12,1107.19,1140.87,1130.40,1152.88,1107.19,1119.06,1106.76,1108.21
G13,859.11,865.07,865.01,877.71,859.11,864.68,857.19,858.42
G14,1081.31,1093.77,1086.07,1089.93,1081.31,1095.40,1080.55,1080.84
G15,1345.23,1358.21,1353.91,1371.61,1345.23,1359.94,1342.53,1344.32
G16,1622.69,1635.16,1634.74,1650.94,1622.69,1639.11,1620.85,1622.26
G17,707.79,708.76,708.74,717.09,707.79,708.90,707.76,707.78
G18,998.73,998.83,1006.90,1018.74,998.73,1002.42,995.13,995.91
G19,1366.86,1367.20,1371.01,1385.60,1366.86,1374.24,1365.97,1366.70
G20,1820.09,1822.94,1837.67,1846.55,1820.09,1830.80,1820.02,1821.65