Instance,BKS,Rochat and Taillard,Pisinger and Røpke,Mester and Bräysy,Nagata and Bräysy,Vidal et al.,ILS-RVND-SP
C1,524.61,524.61,524.61,524.61,524.61,524.61,524.61
C2,835.26,835.26,835.26,835.26,835.26,835.26,835.26
C3,826.14,826.14,826.14,826.14,826.14,826.14,826.14
C4,1029.56,1028.42,1029.56,1028.42,1028.42,1028.42,1028.73
C5,1297.12,1291.45,1297.12,1291.29,1291.45,1291.45,1293.18
C6,555.43,555.43,555.43,555.43,555.43,555.43,556.49
C7,909.68,909.68,909.68,909.68,909.68,909.68,910.00
C8,865.94,865.94,865.94,865.94,865.94,865.94,865.94
C9,1163.68,1162.55,1163.68,1162.55,1162.55,1162.55,1164.11
C10,1405.88,1395.85,1405.88,1401.12,1395.85,1395.85,1402.03
C11,1042.11,1042.11,1042.11,1042.11,1042.11,1042.11,1042.11
C12,819.56,819.56,819.56,819.56,819.56,819.56,819.56
C13,1542.86,1541.14,1542.86,1541.14,1541.14,1541.14,1544.07
C14,866.37,866.37,866.37,866.37,866.37,866.37,866.37